Species    Freq.     Unc.     J'(K-',K+') - J''(K-'',K+'')   F'  F1' -  F''  F1''  Vib.     Ref.                                                              

H_216O    22235.044  (1E-3)        6(1,6) -        5( 2,3)    7      -    6        (0,0,0)  [69033]
         399650.88   (0.15)        2(1,1) -        2( 0,2)       7/2 -        9/2  (0,0,0)                                                                    
D_218O     8898.45   (0.03)        5(3,3) -        4( 4,0)                         (0,0,0)                                                                    
          26281.93   (0.03)       10(7,4) -        9( 8,1)                         (0,0,0)                                                                    
          26386.88   (0.03)       10(7,3) -        9( 8,2)                         (0,0,0)                                                                    
          32581.33   (0.03)        3(1,3) -        2( 2,0)                         (0,0,0)                                                                    
          50052.17   (0.03)      11(2,10) -       10( 3,7)                         (0,0,0)                                                                    
          58514.58   (0.03)        5(3,2) -        4( 4,1)                         (0,0,0)                                                                    
          95762.68   (0.06)        5(5,1) -        6( 4,2)                         (0,0,0)                                                                    
         104538.60   (0.06)        5(5,0) -        6( 4,3)                         (0,0,0)                                                                    
         127557.38   (0.06)        6(2,4) -        7( 1,7)                         (0,0,0)                                                                    
         165718.23   (0.06)        4(1,4) -        3( 2,1)                         (0,0,0)                                                                    
         175676.75   (0.09)        8(5,3) -        7( 6,2)                         (0,0,0)                                                                    
         184774.74   (0.09)        5(1,5) -        4( 2,2)                         (0,0,0)                                                                    
         207185.02   (0.09)        6(6,1) -        7( 5,2)                         (0,0,0)                                                                    
         208456.35   (0.09)        6(6,0) -        7( 5,3)                         (0,0,0)                                                                    
         275475.39   (0.12)        7(4,4) -        6( 5,1)                         (0,0,0)                                                                    
         279987.59   (0.12)        4(2,2) -        3( 3,1)                         (0,0,0)                                                                    
         288294.20   (0.12)        7(7,1) -        8( 6,2)                         (0,0,0)                                                                    
         288458.26   (0.12)        7(7,0) -        8( 6,3)                         (0,0,0)                                                                    
         305827.11   (0.12)        7(4,3) -        6( 5,2)                         (0,0,0)                                                                    
         307480.60   (0.12)        1(1,0) -        1( 0,1)                         (0,0,0)                                                                    
         376411.11   (0.15)        5(2,4) -        4( 3,1)                         (0,0,0)                                                                    
H16OT     11953.20   (0.10)        6(3,3) -        6( 3,4)                         (0,0,0)  [72048]
          16562.53   (0.10)        3(2,1) -        3( 2,2)                         (0,0,0)                                                                    
          29356.41   (0.10)        7(3,4) -        7( 3,5)                         (0,0,0)                                                                    
          30786.40   (0.10)       11(4,7) -       11( 4,8)                         (0,0,0)                                                                    
          47520.71   (0.10)        1(1,0) -        1( 1,1)                         (0,0,0)                                                                    
          48598.40   (0.10)       10(3,8) -        9( 4,5)                         (0,0,0)                                                                    
          48889.95   (0.10)        4(2,2) -        4( 2,3)                         (0,0,0)                                                                    
          56425.59   (0.10)        5(2,3) -        6( 1,6)                         (0,0,0)                                                                    
          59615.35   (0.10)       12(4,8) -       12( 4,9)                         (0,0,0)                                                                    
          62890.66   (0.10)        8(3,5) -        8( 3,6)                         (0,0,0)                                                                    
          77009.15   (0.10)       11(5,7) -       12( 4,8)                         (0,0,0)                                                                    
          88680.414  (0.06)        7(2,5) -        8( 0,8)                         (0,0,0)  [74037]
         107979.061  (0.06)       13(4,9) -      13( 4,10)                         (0,0,0)                                                                    
         110811.643  (0.06)        5(2,3) -        5( 2,4)                         (0,0,0)                                                                    
         116130.270  (0.06)        4(1,3) -        3( 2,2)                         (0,0,0)  [72048]
         116405.330  (0.06)        6(2,4) -        7( 0,7)                         (0,0,0)  [74037]
         121066.84   (0.06)        9(3,6) -        9( 3,7)                         (0,0,0)  [72048]
         121264.40   (0.06)        8(2,7) -        7( 3,4)                         (0,0,0)                                                                    
         137892.64   (0.06)       11(5,6) -       12( 4,9)                         (0,0,0)                                                                    
         142495.10   (0.06)        2(1,1) -        2( 1,2)                         (0,0,0)                                                                    
         151984.194  (0.06)        6(3,3) -        7( 2,6)                         (0,0,0)  [74037]
         172464.74   (0.09)        8(4,5) -        9( 3,6)                         (0,0,0)  [72048]
         185982.72   (0.09)        4(2,2) -        5( 1,5)                         (0,0,0)                                                                    
         211927.55   (0.09)        6(2,4) -        6( 2,5)                         (0,0,0)                                                                    
         213290.392  (0.09)       10(3,7) -       10( 3,8)                         (0,0,0)  [74037]
         214424.62   (0.09)        2(0,2) -        1( 1,1)                         (0,0,0)  [72048]
         218846.85   (0.09)        7(2,5) -        6( 3,4)                         (0,0,0)                                                                    
         230097.908  (0.09)        5(2,3) -        6( 0,6)                         (0,0,0)  [74037]
         237740.32   (0.09)        5(3,3) -        6( 2,4)                         (0,0,0)  [72048]
         252373.246  (0.12)        9(2,7) -      10( 1,10)                         (0,0,0)  [74037]
         268317.973  (0.12)       10(3,7) -        9( 4,6)                         (0,0,0)                                                                    
         284644.07   (0.12)        3(1,2) -        3( 1,3)                         (0,0,0)  [72048]
         296038.757  (0.12)        8(4,4) -        9( 3,7)                         (0,0,0)  [74037]
         320262.772  (0.15)        2(2,1) -        3( 1,2)                         (0,0,0)                                                                    
         348183.910  (0.15)       11(3,8) -       11( 3,9)                         (0,0,0)                                                                    
         348639.061  (0.15)        1(0,1) -        0( 0,0)                         (0,0,0)                                                                    
         355877.351  (0.15)        9(2,8) -        8( 3,5)                         (0,0,0)                                                                    
         358877.810  (0.15)        7(2,5) -        7( 2,6)                         (0,0,0)                                                                    
         373621.836  (0.15)        3(2,1) -        4( 1,4)                         (0,0,0)                                                                    
         379032.308  (0.15)       11(3,9) -       10( 4,6)                         (0,0,0)                                                                    
         453697.802  (0.18)        5(3,2) -        6( 2,5)                         (0,0,0)                                                                    
         473189.609  (0.18)        4(1,3) -        4( 1,4)                         (0,0,0)                                                                    
         526911.988  (0.21)        1(1,0) -        1( 0,1)                         (0,0,0)                                                                    
         569350.080  (0.21)        5(1,4) -        4( 2,3)                         (0,0,0)                                                                    
         577543.126  (0.21)        2(1,1) -        2( 0,2)                         (0,0,0)                                                                    
         597144.023  (0.30)        3(0,3) -        2( 1,2)                         (0,0,0)                                                                    
         649472.828  (0.30)        2(1,2) -        1( 1,1)                         (0,0,0)                                                                    
         693816.158  (0.30)        2(0,2) -        1( 0,1)                         (0,0,0)                                                                    
D16OT     16797.78   (0.10)        6(3,3) -        5( 4,2)                         (0,0,0)                                                                    
          38186.45   (0.10)        3(2,1) -        3( 2,2)                         (0,0,0)                                                                    
          40136.05   (0.10)        5(4,1) -        6( 3,4)                         (0,0,0)                                                                    
          51025.424  (0.03)        3(3,1) -        4( 2,2)                         (0,0,0)                                                                    
          51905.572  (0.03)        4(1,4) -        3( 2,1)                         (0,0,0)                                                                    
          88991.395  (0.06)        2(2,0) -        3( 1,3)                         (0,0,0)                                                                    
          94713.289  (0.06)        5(2,4) -        4( 3,1)                         (0,0,0)                                                                    
         101466.243  (0.06)        8(4,4) -        7( 5,3)                         (0,0,0)                                                                    
         102708.147  (0.06)        6(1,6) -        5( 2,3)                         (0,0,0)                                                                    
         107763.229  (0.06)        4(2,2) -        4( 2,3)                         (0,0,0)                                                                    
         110556.548  (0.06)        8(6,3) -        9( 5,4)                         (0,0,0)                                                                    
         114308.159  (0.06)        8(6,2) -        9( 5,5)                         (0,0,0)                                                                    
         119425.985  (0.06)        5(1,5) -        4( 2,2)                         (0,0,0)                                                                    
         129854.072  (0.06)        7(3,4) -        7( 3,5)                         (0,0,0)                                                                    
         158629.161  (0.06)        2(1,1) -        2( 1,2)                         (0,0,0)                                                                    
         159531.785  (0.06)        3(3,0) -        4( 2,3)                         (0,0,0)                                                                    
         177050.655  (0.09)        7(2,5) -        8( 1,8)                         (0,0,0)                                                                    
         194595.352  (0.09)       10(5,6) -        9( 6,3)                         (0,0,0)                                                                    
         205353.409  (0.09)       10(5,5) -        9( 6,4)                         (0,0,0)                                                                    
         221366.024  (0.09)        6(5,2) -        7( 4,3)                         (0,0,0)                                                                    
         228651.098  (0.09)        5(2,3) -        5( 2,4)                         (0,0,0)                                                                    
         230350.066  (0.09)        6(5,1) -        7( 4,4)                         (0,0,0)                                                                    
         235116.740  (0.09)        3(1,2) -        2( 2,1)                         (0,0,0)                                                                    
         248085.412  (0.12)        7(3,5) -        6( 4,2)                         (0,0,0)                                                                    
         253758.145  (0.12)        8(3,5) -        8( 3,6)                         (0,0,0)                                                                    
         290863.828  (0.12)        1(1,0) -        1( 0,1)                         (0,0,0)                                                                    
         291209.062  (0.12)        1(0,1) -        0( 0,0)                         (0,0,0)                                                                    
         314556.550  (0.12)        6(2,5) -        5( 3,2)                         (0,0,0)                                                                    
         316236.877  (0.12)        3(1,2) -        3( 1,3)                         (0,0,0)                                                                    
         316612.544  (0.12)        4(4,1) -        5( 3,2)                         (0,0,0)                                                                    
         328477.447  (0.15)        5(2,3) -        4( 3,2)                         (0,0,0)                                                                    
         336465.493  (0.15)        2(0,2) -        1( 1,1)                         (0,0,0)                                                                    
         336494.646  (0.15)        4(4,0) -        5( 3,3)                         (0,0,0)                                                                    
         351658.116  (0.15)        2(1,1) -        2( 0,2)                         (0,0,0)                                                                    
         380461.686  (0.15)        7(3,4) -        6( 4,3)                         (0,0,0)                                                                    
         380780.494  (0.15)        9(4,6) -        8( 5,3)                         (0,0,0)                                                                    
         443970.391  (0.18)        9(4,5) -        8( 5,4)                         (0,0,0)                                                                    
         455915.048  (0.18)        3(1,2) -        3( 0,3)                         (0,0,0)                                                                    
         482874.751  (0.18)        7(2,6) -        6( 3,3)                         (0,0,0)                                                                    
         518999.582  (0.21)        8(3,6) -        7( 4,3)                         (0,0,0)                                                                    
         529165.461  (0.21)        1(1,1) -        0( 0,0)                         (0,0,0)                                                                    
         612661.581  (0.30)        4(1,3) -        3( 2,2)                         (0,0,0)                                                                    
         612999.562  (0.30)        4(1,3) -        4( 0,4)                         (0,0,0)                                                                    
         676566.044  (0.30)        3(2,1) -        3( 1,2)                         (0,0,0)                                                                    
T_216O    55476.17   (0.03)        2(2,0) -        3( 1,3)                         (0,0,0)  [72048]
          59651.20   (0.03)        4(1,4) -        3( 2,1)                         (0,0,0)                                                                    
          71474.10   (0.03)        6(3,3) -        5( 4,2)                         (0,0,0)                                                                    
          88572.829  (0.06)        6(1,6) -        5( 2,3)                         (0,0,0)  [73058]
          98341.697  (0.06)        3(3,0) -        4( 2,3)                         (0,0,0)                                                                    
         104033.722  (0.06)       11(6,6) -       10( 7,3)                         (0,0,0)                                                                    
         105665.015  (0.06)       11(6,5) -       10( 7,4)                         (0,0,0)                                                                    
         110559.438  (0.06)        5(1,5) -        4( 2,2)                         (0,0,0)                                                                    
         113867.814  (0.06)        5(2,4) -        4( 3,1)                         (0,0,0)                                                                    
         118267.919  (0.06)        6(5,2) -        7( 4,3)                         (0,0,0)                                                                    
         127190.298  (0.06)        6(5,1) -        7( 4,4)                         (0,0,0)                                                                    
         151748.917  (0.06)        9(7,3) -       10( 6,4)                         (0,0,0)                                                                    
         152252.873  (0.06)        9(7,2) -       10( 6,5)                         (0,0,0)                                                                    
         156035.976  (0.06)        8(4,4) -        7( 5,3)                         (0,0,0)                                                                    
         164473.211  (0.09)        7(2,5) -        8( 1,8)                         (0,0,0)                                                                    
         212606.619  (0.09)        4(4,1) -        5( 3,2)                         (0,0,0)                                                                    
         222756.07   (0.09)        3(1,2) -        2( 2,1)                         (0,0,0)  [72048]
         231386.797  (0.09)        4(4,0) -        5( 3,3)                         (0,0,0)  [73058]
         238434.50   (0.09)        1(1,0) -        1( 0,1)                         (0,0,0)  [72048]
         244191.923  (0.12)       10(5,6) -        9( 6,3)                         (0,0,0)  [73058]
         255351.462  (0.12)       10(5,5) -        9( 6,4)                         (0,0,0)                                                                    
         259297.645  (0.12)        7(3,5) -        6( 4,2)                         (0,0,0)                                                                    
         265426.974  (0.12)      11(2,10) -       10( 3,7)                         (0,0,0)                                                                    
         271832.579  (0.12)       10(8,3) -       11( 7,4)                         (0,0,0)                                                                    
         271890.246  (0.12)       10(8,2) -       11( 7,5)                         (0,0,0)                                                                    
         272210.475  (0.12)        7(6,2) -        8( 5,3)                         (0,0,0)                                                                    
         273375.898  (0.12)        7(6,1) -        8( 5,4)                         (0,0,0)                                                                    
         290949.739  (0.12)        2(1,1) -        2( 0,2)                         (0,0,0)                                                                    
         291559.959  (0.12)        2(0,2) -        1( 1,1)                         (0,0,0)                                                                    
         294861.853  (0.12)        6(2,5) -        5( 3,2)                         (0,0,0)                                                                    
         321804.342  (0.15)        5(2,3) -        4( 3,2)                         (0,0,0)                                                                    
         362915.855  (0.15)       12(6,7) -       11( 7,4)                         (0,0,0)                                                                    
         381138.787  (0.15)        5(5,1) -        6( 4,2)                         (0,0,0)                                                                    
         381371.073  (0.15)        3(1,2) -        3( 0,3)                         (0,0,0)                                                                    
         382676.413  (0.15)        7(3,4) -        6( 4,3)                         (0,0,0)                                                                    
         383658.221  (0.15)        5(5,0) -        6( 4,3)                         (0,0,0)                                                                    
         386705.220  (0.15)        9(4,6) -        8( 5,3)                         (0,0,0)                                                                    
         406009.486  (0.18)        8(7,2) -        9( 6,3)                         (0,0,0)                                                                    
         417701.411  (0.18)       10(2,9) -        9( 3,6)                         (0,0,0)                                                                    
         429290.199  (0.18)        7(2,6) -        6( 3,3)                         (0,0,0)                                                                    
         438971.144  (0.18)        1(1,1) -        0( 0,0)                         (0,0,0)                                                                    
         448637.909  (0.18)        9(4,5) -        8( 5,4)                         (0,0,0)                                                                    
         484020.760  (0.21)        8(3,6) -        7( 4,3)                         (0,0,0)                                                                    
         532458.020  (0.24)        4(2,2) -        4( 1,3)                         (0,0,0)                                                                    
         541681.258  (0.24)        4(1,3) -        3( 2,2)                         (0,0,0)                                                                    
         549412.662  (0.24)        3(2,1) -        3( 1,2)                         (0,0,0)                                                                    
         549846.414  (0.24)        5(2,3) -        5( 1,4)                         (0,0,0)                                                                    
         555193.929  (0.24)        3(0,3) -        2( 1,2)                         (0,0,0)                                                                    
         584865.821  (0.30)        2(2,0) -        2( 1,1)                         (0,0,0)                                                                    
         612876.470  (0.30)        6(2,4) -        6( 1,5)                         (0,0,0)                                                                    
         639534.877  (0.30)        2(1,2) -        1( 0,1)                         (0,0,0)                                                                    
H17OD      8817.35   (0.10)        7(4,3) -        7( 4,4)                         (0,0,0)  [71038]
           9172.80   (0.10)       10(5,5) -       10( 5,6)                         (0,0,0)                                                                    
          10374.31   (0.10)        2(2,0) -        2( 2,1)       9/2 -        9/2  (0,0,0)  [57010]
          10374.56   (*0.10)       2(2,0) -        2( 2,1)                         (0,0,0)                                                                    
          14597.65   (0.10)        3(2,1) -        4( 1,4)                         (0,0,0)  [71038]
          14599.17   (0.10)        3(2,1) -        4( 1,4)                         (0,0,0)                                                                    
          14599.43   (0.10)        3(2,1) -        4( 1,4)                         (0,0,0)                                                                    
          14599.64   (0.10)        3(2,1) -        4( 1,4)                         (0,0,0)                                                                    
          14601.10   (0.10)        3(2,1) -        4( 1,4)                         (0,0,0)                                                                    
          14602.04   (0.10)        3(2,1) -        4( 1,4)                         (0,0,0)                                                                    
          14602.37   (0.10)        3(2,1) -        4( 1,4)                         (0,0,0)                                                                    
          22716.80   (0.10)        5(3,2) -        5( 3,3)                         (0,0,0)                                                                    
          23440.046  (0.10)       11(5,6) -       11( 5,7)                         (0,0,0)                                                                    
          24698.586  (0.10)        7(1,7) -        6( 2,4)                         (0,0,0)                                                                    
          24699.322  (0.10)        7(1,7) -        6( 2,4)                         (0,0,0)                                                                    
          24700.718  (0.10)        7(1,7) -        6( 2,4)                         (0,0,0)                                                                    
          24701.892  (0.10)        7(1,7) -        6( 2,4)                         (0,0,0)                                                                    
          24702.675  (0.10)        7(1,7) -        6( 2,4)                         (0,0,0)                                                                    
          25576.42   (0.10)        8(4,4) -        8( 4,5)                         (0,0,0)                                                                    
          48713.700  (0.10)        4(3,1) -        5( 2,4)                         (0,0,0)                                                                    
          48714.437  (0.10)        4(3,1) -        5( 2,4)                         (0,0,0)                                                                    
          48714.774  (0.10)        4(3,1) -        5( 2,4)                         (0,0,0)                                                                    
          48715.175  (0.10)        4(3,1) -        5( 2,4)                         (0,0,0)                                                                    
          48715.700  (0.10)        4(3,1) -        5( 2,4)                         (0,0,0)                                                                    
          48716.016  (0.10)        4(3,1) -        5( 2,4)                         (0,0,0)                                                                    
          48716.301  (0.10)        4(3,1) -        5( 2,4)                         (0,0,0)                                                                    
          50690.104  (0.10)        3(2,1) -        3( 2,2)                         (0,0,0)                                                                    
          50690.561  (0.10)        3(2,1) -        3( 2,2)                         (0,0,0)                                                                    
          63394.332  (0.10)        9(4,5) -        9( 4,6)                         (0,0,0)                                                                    
          65579.878  (0.10)        6(3,3) -        6( 3,4)                         (0,0,0)                                                                    
          72070.32   (0.10)        6(0,6) -        5( 2,3)                         (0,0,0)                                                                    
          72070.94   (0.10)        6(0,6) -        5( 2,3)                         (0,0,0)                                                                    
          72072.55   (0.10)        6(0,6) -        5( 2,3)                         (0,0,0)                                                                    
          72073.50   (0.10)        6(0,6) -        5( 2,3)                         (0,0,0)                                                                    
          72074.30   (0.10)        6(0,6) -        5( 2,3)                         (0,0,0)                                                                    
          80600.230  (0.10)        1(1,0) -        1( 1,1)                         (0,0,0)                                                                    
          80600.926  (0.10)        1(1,0) -        1( 1,1)                         (0,0,0)                                                                    
          80601.318  (0.10)        1(1,0) -        1( 1,1)                         (0,0,0)                                                                    
          80601.775  (0.10)        1(1,0) -        1( 1,1)                         (0,0,0)                                                                    
          80603.217  (0.10)        1(1,0) -        1( 1,1)                         (0,0,0)                                                                    
          80603.547  (0.10)        1(1,0) -        1( 1,1)                         (0,0,0)                                                                    
         124250.848  (0.10)        5(1,5) -        4( 2,2)                         (0,0,0)                                                                    
         124251.634  (0.10)        5(1,5) -        4( 2,2)                         (0,0,0)                                                                    
         124253.258  (0.10)        5(1,5) -        4( 2,2)                         (0,0,0)                                                                    
         124254.075  (0.10)        5(1,5) -        4( 2,2)                         (0,0,0)                                                                    
         124255.200  (0.10)        5(1,5) -        4( 2,2)                         (0,0,0)                                                                    
         138348.654  (0.10)       10(4,6) -       10( 4,7)                         (0,0,0)                                                                    
         139237.861  (0.10)        6(1,6) -        5( 2,3)                         (0,0,0)                                                                    
         139238.584  (0.10)        6(1,6) -        5( 2,3)                         (0,0,0)                                                                    
         139240.132  (0.10)        6(1,6) -        5( 2,3)                         (0,0,0)                                                                    
         139241.103  (0.10)        6(1,6) -        5( 2,3)                         (0,0,0)                                                                    
         139242.010  (0.10)        6(1,6) -        5( 2,3)                         (0,0,0)                                                                    
         144932.098  (0.10)        4(2,2) -        4( 2,3)                         (0,0,0)                                                                    
         144932.852  (0.10)        4(2,2) -        4( 2,3)                         (0,0,0)                                                                    
         145195.756  (0.10)        7(3,4) -        7( 3,5)                         (0,0,0)                                                                    
         233919.888  (0.10)        3(1,2) -        2( 2,1)                         (0,0,0)                                                                    
         233921.286  (0.10)        3(1,2) -        2( 2,1)                         (0,0,0)                                                                    
         241632.672  (0.10)        2(1,1) -        2( 1,2)                         (0,0,0)                                                                    
         241634.238  (0.10)        2(1,1) -        2( 1,2)                         (0,0,0)                                                                    
         241635.771  (0.10)        2(1,1) -        2( 1,2)                         (0,0,0)                                                                    
         241636.455  (0.10)        2(1,1) -        2( 1,2)                         (0,0,0)                                                                    
H18OD      5902.38   (0.10)        4(4,1) -        4( 3,2)                         (0,0,0)                                                                    
           9032.2    (0.2)         7(4,3) -        7( 4,4)                         (0,0,0)                                                                    
           9477.1    (0.2)        10(5,5) -       10( 5,6)                         (0,0,0)                                                                    
           9526.6    (0.2)         3(2,1) -        4( 1,4)                         (0,0,0)                                                                    
          10458.6    (0.2)         2(2,0) -        2( 2,1)                         (0,0,0)                                                                    
          22733.2    (0.2)         7(1,7) -        6( 2,4)                         (0,0,0)                                                                    
          23080.25   (0.10)        5(3,2) -        5( 3,3)                         (0,0,0)                                                                    
          24218.4    (0.2)        11(5,6) -       11( 5,7)                         (0,0,0)                                                                    
          26196.85   (0.10)        8(4,4) -        8( 4,5)                         (0,0,0)                                                                    
          37889.87   (0.10)        4(3,1) -        5( 2,4)                         (0,0,0)                                                                    
          51087.68   (0.10)        3(2,1) -        3( 2,2)                         (0,0,0)                                                                    
          55658.94   (0.10)       12(5,7) -       12( 5,8)                         (0,0,0)                                                                    
          64908.69   (0.10)        9(4,5) -        9( 4,6)                         (0,0,0)                                                                    
          66601.94   (0.10)        6(3,3) -        6( 3,4)                         (0,0,0)                                                                    
          74187.30   (0.10)        6(0,6) -        5( 2,3)                         (0,0,0)                                                                    
          80616.30   (0.10)        1(1,0) -        1( 1,1)                         (0,0,0)                                                                    
         121185.97   (0.15)        7(3,5) -        6( 4,2)                         (0,0,0)                                                                    
         127224.80   (0.15)        5(1,5) -        4( 2,2)                         (0,0,0)                                                                    
         139788.66   (0.15)        6(1,6) -        5( 2,3)                         (0,0,0)                                                                    
         141550.34   (0.15)       10(4,6) -       10( 4,7)                         (0,0,0)                                                                    
         145984.85   (0.15)        4(2,2) -        4( 2,3)                         (0,0,0)                                                                    
         156478.35   (0.15)        7(3,4) -        7( 3,5)                         (0,0,0)                                                                    
         212375.51   (0.20)        7(5,3) -        8( 4,4)                         (0,0,0)                                                                    
         216553.11   (0.20)        7(2,5) -        8( 1,8)                         (0,0,0)                                                                    
         238797.23   (0.20)        7(5,2) -        8( 4,5)                         (0,0,0)                                                                    
         240872.00   (0.20)        3(1,2) -        2( 2,1)                         (0,0,0)                                                                    
         241680.38   (0.20)        2(1,1) -        2( 1,2)                         (0,0,0)                                                                    
