Species    Freq.     Unc.     J'(K-',K+') - J''(K-'',K+'')   F'  F1' -  F''  F1''  Vib.     Ref.                                                              

H_216O    22235.044  (1E-3)        6(1,6) -        5( 2,3)    7      -    6        (0,0,0)  [69033]
            486.607  (2E-3)        5(4,1) -        5( 4,2) 11/2    5 - 13/2     6  (0,0,0)                                                                    
            824.478  (2E-3)        3(3,0) -        3( 3,1)  3/2    2 -  5/2     3  (0,0,0)                                                                    
            824.507  (2E-3)        3(3,0) -        3( 3,1)  7/2    4 -  9/2     4  (0,0,0)                                                                    
            824.525  (2E-3)        3(3,0) -        3( 3,1)  7/2    4 -  5/2     3  (0,0,0)                                                                    
            824.549  (2E-3)        3(3,0) -        3( 3,1)  5/2    3 -  7/2     3  (0,0,0)                                                                    
            824.569  (2E-3)        3(3,0) -        3( 3,1)  9/2    4 -  7/2     3  (0,0,0)                                                                    
            824.604  (2E-3)        3(3,0) -        3( 3,1)  7/2    4 -  5/2     2  (0,0,0)                                                                    
            824.671  (2E-3)        3(3,0) -        3( 3,1)  9/2    4 -  9/2     4  (0,0,0)                                                                    
            824.671  (2E-3)        3(3,0) -        3( 3,1)  7/2    4 -  7/2     4  (0,0,0)                                                                    
            824.671  (2E-3)        3(3,0) -        3( 3,1)  7/2    3 -  7/2     3  (0,0,0)                                                                    
            824.671  (2E-3)        3(3,0) -        3( 3,1)  5/2    3 -  5/2     3  (0,0,0)                                                                    
            824.671  (2E-3)        3(3,0) -        3( 3,1)  5/2    2 -  5/2     2  (0,0,0)                                                                    
            824.671  (2E-3)        3(3,0) -        3( 3,1)  3/2    2 -  3/2     2  (0,0,0)                                                                    
            824.742  (2E-3)        3(3,0) -        3( 3,1)  5/2    2 -  7/2     4  (0,0,0)                                                                    
            824.773  (2E-3)        3(3,0) -        3( 3,1)  7/2    3 -  9/2     4  (0,0,0)                                                                    
            824.790  (2E-3)        3(3,0) -        3( 3,1)  7/2    3 -  5/2     3  (0,0,0)                                                                    
            824.814  (2E-3)        3(3,0) -        3( 3,1)  5/2    3 -  7/2     4  (0,0,0)                                                                    
            824.834  (2E-3)        3(3,0) -        3( 3,1)  9/2    4 -  7/2     4  (0,0,0)                                                                    
            824.864  (2E-3)        3(3,0) -        3( 3,1)  5/2    3 -  3/2     2  (0,0,0)                                                                    
            892.229  (*0.02)       8(5,3) -        8( 5,4)                         (0,0,0)  [74005]
           2394.56   (0.05)        6(4,2) -        6( 4,3)                         (0,0,0)  [55010]
           3044.71   (0.10)        9(5,4) -        9( 5,5)                         (0,0,0)                                                                    
           3296.488  (*0.24)       5(0,5) -        4( 2,2)                         (0,0,0)  [74005]
           5702.78   (0.06)        4(3,1) -        4( 3,2)                         (0,0,0)  [53017]
           8577.812  (0.04)        7(4,3) -        7( 4,4)                         (0,0,0)  [68014]
           8837.21   (0.10)       10(5,5) -       10( 5,6)                         (0,0,0)  [71035]
          10278.080  (1E-3)        2(2,0) -        2( 2,1)  5/2    2 -  3/2     1  (0,0,0)  [64020]
          10278.080  (1E-3)        2(2,0) -        2( 2,1)  3/2    2 -  1/2     1  (0,0,0)                                                                    
          10278.137  (1E-3)        2(2,0) -        2( 2,1)  7/2    3 -  5/2     3  (0,0,0)                                                                    
          10278.137  (1E-3)        2(2,0) -        2( 2,1)  3/2    2 -  5/2     3  (0,0,0)                                                                    
          10278.168  (1E-3)        2(2,0) -        2( 2,1)  3/2    1 -  1/2     1  (0,0,0)                                                                    
          10278.168  (1E-3)        2(2,0) -        2( 2,1)  5/2    2 -  7/2     3  (0,0,0)                                                                    
          10278.226  (1E-3)        2(2,0) -        2( 2,1)  3/2    1 -  5/2     3  (0,0,0)                                                                    
          10278.246  (1E-3)        2(2,0) -        2( 2,1)  3/2    2 -  3/2     2  (0,0,0)                                                                    
          10278.246  (1E-3)        2(2,0) -        2( 2,1)  5/2    2 -  5/2     2  (0,0,0)                                                                    
          10278.246  (1E-3)        2(2,0) -        2( 2,1)  5/2    3 -  5/2     3  (0,0,0)                                                                    
          10278.246  (1E-3)        2(2,0) -        2( 2,1)  7/2    3 -  7/2     3  (0,0,0)                                                                    
          10278.264  (1E-3)        2(2,0) -        2( 2,1)  5/2    3 -  3/2     1  (0,0,0)                                                                    
          10278.323  (1E-3)        2(2,0) -        2( 2,1)  1/2    1 -  3/2     1  (0,0,0)                                                                    
          10278.323  (1E-3)        2(2,0) -        2( 2,1)  7/2    3 -  5/2     2  (0,0,0)                                                                    
          10278.355  (1E-3)        2(2,0) -        2( 2,1)  5/2    3 -  7/2     3  (0,0,0)                                                                    
          10278.355  (1E-3)        2(2,0) -        2( 2,1)  5/2    3 -  3/2     2  (0,0,0)                                                                    
          10278.413  (1E-3)        2(2,0) -        2( 2,1)  3/2    1 -  5/2     2  (0,0,0)                                                                    
          10278.413  (1E-3)        2(2,0) -        2( 2,1)  1/2    1 -  3/2     2  (0,0,0)                                                                    
          10557.45   (0.05)        2(2,0) -        2( 2,1)                         (0,1,0)  [71035]
          11618.2    (0.1)         6(2,4) -        7( 0,7)                         (0,0,0)  [73062]
          20460.01   (0.05)        3(2,1) -        4( 1,4)                         (0,0,0)  [70023]
          21820.34   (0.10)        5(3,2) -        5( 3,3)                         (0,1,0)  [71035]
          22307.67   (0.05)        5(3,2) -        5( 3,3)                         (0,0,0)  [48011]
          22581.57   (0.10)       11(5,6) -       11( 5,7)                         (0,0,0)  [71035]
          24884.77   (0.05)        8(4,4) -        8( 4,5)                         (0,0,0)  [53017]
          26880.38   (0.05)        7(1,7) -        6( 2,4)                         (0,0,0)                                                                    
          27892.29   (0.10)        6(2,5) -        5( 3,2)                         (0,1,0)  [71035]
          28668.34   (0.10)       11(7,5) -       12( 6,6)                         (0,0,0)                                                                    
          31670.43   (0.10)       11(7,4) -       12( 6,7)                         (0,0,0)                                                                    
          45902.54   (0.10)      13(2,12) -       12( 3,9)                         (0,0,0)                                                                    
          50236.30   (0.10)        3(2,1) -        3( 2,2)                         (0,0,0)  [56016]
          51675.47   (0.10)        3(2,1) -        3( 2,2)                         (0,1,0)  [71035]
