CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEPLIM,PL_TRANDEP_AUTHORS,PL_TRANDEP_URL,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATRORLIM,PL_RATROR_AUTHORS,PL_RATROR_URL,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJLIM,PL_RADJ_AUTHORS,PL_RADJ_URL,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,PL_TRANMIDLIM,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS,ST_RAD_URL
0.44500,0.00500,2.13306,0.02990,-0.02969,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14605,0.00102,-0.00102,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2720,0.0339,-0.0339,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.45500,0.00500,2.15561,0.02651,-0.02635,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14682,0.00090,-0.00090,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2787,0.0338,-0.0338,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.46500,0.00500,2.11208,0.02653,-0.02637,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14533,0.00091,-0.00091,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2657,0.0335,-0.0335,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.47500,0.00500,2.14066,0.02818,-0.02800,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14631,0.00096,-0.00096,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2743,0.0338,-0.0338,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.48500,0.00500,2.09149,0.02495,-0.02480,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14462,0.00086,-0.00086,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2596,0.0332,-0.0332,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.49500,0.00500,2.12576,0.02486,-0.02471,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14580,0.00085,-0.00085,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2698,0.0335,-0.0335,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.50500,0.00500,2.06842,0.02452,-0.02438,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14382,0.00085,-0.00085,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2526,0.0330,-0.0330,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.51500,0.00500,2.11063,0.02711,-0.02694,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14528,0.00093,-0.00093,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2653,0.0335,-0.0335,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.52500,0.00500,2.13160,0.02313,-0.02301,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14600,0.00079,-0.00079,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2716,0.0334,-0.0334,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.53500,0.00500,2.06698,0.02712,-0.02694,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14377,0.00094,-0.00094,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2521,0.0332,-0.0332,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.54500,0.00500,2.04261,0.02782,-0.02763,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14292,0.00097,-0.00097,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2447,0.0331,-0.0331,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.55500,0.00500,2.14212,0.02584,-0.02568,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14636,0.00088,-0.00088,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2747,0.0336,-0.0336,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.55750,0.00750,2.07389,0.03558,-0.03528,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14401,0.00123,-0.00123,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2542,0.0340,-0.0340,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.56500,0.00500,2.12926,0.02517,-0.02502,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14592,0.00086,-0.00086,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2709,0.0335,-0.0335,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.57640,0.01140,2.11383,0.02771,-0.02753,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14539,0.00095,-0.00095,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2663,0.0336,-0.0336,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.58930,0.00150,2.24311,0.06912,-0.06807,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14977,0.00229,-0.00229,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.3044,0.0390,-0.0390,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.59890,0.00810,2.13248,0.03460,-0.03432,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14603,0.00118,-0.00118,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2718,0.0343,-0.0343,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.61850,0.01150,2.14857,0.03591,-0.03562,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14658,0.00122,-0.00122,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2766,0.0345,-0.0345,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.63750,0.00750,2.10976,0.03823,-0.03788,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14525,0.00131,-0.00131,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2650,0.0345,-0.0345,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.65250,0.00750,2.08254,0.04702,-0.04649,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14431,0.00162,-0.00162,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2569,0.0352,-0.0352,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.67000,0.01000,2.03091,0.03406,-0.03378,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14251,0.00119,-0.00119,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2412,0.0335,-0.0335,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.69500,0.01500,2.05349,0.02270,-0.02258,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14330,0.00079,-0.00079,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2481,0.0328,-0.0328,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.73800,0.02800,2.08456,0.01910,-0.01901,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14438,0.00066,-0.00066,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2575,0.0328,-0.0328,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.76840,0.00250,2.19870,0.08684,-0.08516,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14828,0.00290,-0.00290,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2914,0.0417,-0.0417,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.79050,0.01960,2.16149,0.04166,-0.04126,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14702,0.00141,-0.00141,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2805,0.0351,-0.0351,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.83000,0.02000,2.11994,0.04773,-0.04720,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14560,0.00163,-0.00163,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2681,0.0355,-0.0355,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.87500,0.02500,2.11121,0.03765,-0.03732,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14530,0.00129,-0.00129,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2655,0.0344,-0.0344,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.96500,0.06500,2.03661,0.03123,-0.03099,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14271,0.00109,-0.00109,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2429,0.0333,-0.0333,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
3.60000,0.76660,2.10627,0.04318,-0.04274,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14513,0.00148,-0.00148,0,Fischer-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016ApJ...827...19F/abstract,1.2640,0.0349,-0.0349,0,Calculated,/docs/atmospheres/atmospheres_calc.html,2456401.397330,0.000220,-0.000360,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
4.50000,1.04630,2.12897,0.02811,-0.02792,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14591,0.00096,-0.00096,0,Fischer-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016ApJ...827...19F/abstract,1.2708,0.0337,-0.0337,0,Calculated,/docs/atmospheres/atmospheres_calc.html,2456575.774650,0.000240,-0.000210,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.33000,0.08000,2.08196,0.06690,-0.06584,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14429,0.00230,-0.00230,0,Fischer-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016ApJ...827...19F/abstract,1.2567,0.0380,-0.0380,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.38000,0.03000,2.07590,0.04141,-0.04100,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14408,0.00143,-0.00143,0,Fischer-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016ApJ...827...19F/abstract,1.2548,0.0346,-0.0346,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.40000,0.02000,2.09294,0.02583,-0.02567,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14467,0.00089,-0.00089,0,Fischer-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016ApJ...827...19F/abstract,1.2600,0.0333,-0.0333,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.42000,0.01000,2.10250,0.02560,-0.02544,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14500,0.00088,-0.00088,0,Fischer-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016ApJ...827...19F/abstract,1.2629,0.0333,-0.0333,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.43000,0.01000,2.14710,0.02557,-0.02542,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14653,0.00087,-0.00087,0,Fischer-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016ApJ...827...19F/abstract,1.2762,0.0337,-0.0337,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.45000,0.01000,2.09989,0.02704,-0.02687,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14491,0.00093,-0.00093,0,Fischer-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016ApJ...827...19F/abstract,1.2621,0.0334,-0.0334,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.46000,0.01000,2.07245,0.02455,-0.02440,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14396,0.00085,-0.00085,0,Fischer-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016ApJ...827...19F/abstract,1.2538,0.0331,-0.0331,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.47000,0.01000,2.08716,0.02492,-0.02477,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14447,0.00086,-0.00086,0,Fischer-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016ApJ...827...19F/abstract,1.2582,0.0332,-0.0332,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.47000,0.01000,2.06669,0.02104,-0.02094,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14376,0.00073,-0.00073,0,Fischer-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016ApJ...827...19F/abstract,1.2521,0.0328,-0.0328,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
