 52 2019.546167 1.877E-29 4.596E+01.06180.068 4267.89590.75-.002418              3              2                    P  7      475663 510 5 5 1 8    26.0   30.0
 53 2019.681257 3.357E-30 4.648E+01.06320.069 4234.54990.74-.002298              3              2                    P  6      475663 510 5 5 1 8    11.0   13.0
 51 2020.601738 7.300E-25 2.989E+01.04900.052 3192.98150.67-.002829              2              1                    P 23      475623 510 5 5 1 8    45.0   47.0
 52 2020.782823 5.868E-22 1.469E+01.05170.055  697.62190.67-.002831              1              0                    P 19      475663 510 5 5 1 8    74.0   78.0
 52 2020.887686 1.788E-25 2.971E+01.05610.060 2427.41530.73-.002765              2              1                    P 13      475663 510 5 5 1 8    50.0   54.0
 53 2021.241466 3.779E-26 2.977E+01.05690.062 2375.08220.74-.002736              2              1                    P 12      475663 510 5 5 1 8    23.0   25.0
 53 2021.358670 1.401E-22 1.470E+01.05240.056  625.54630.68-.002828              1              0                    P 18      475663 510 5 5 1 8    35.0   37.0
 51 2021.561199 2.732E-28 4.514E+01.05310.057 4837.07170.69-.002822              3              2                    P 17      475663 510 5 5 1 8    33.0   35.0
 51 2022.914455 1.266E-21 1.496E+01.04600.049 1557.06070.67-.002817              1              0                    P 28      475623 510 5 5 1 8    55.0   57.0
 52 2023.350111 1.822E-29 4.682E+01.06320.069 4242.63000.74-.002298              3              2                    P  6      475663 510 5 5 1 8    22.0   26.0
 53 2023.438766 3.112E-30 4.761E+01.06510.071 4212.97330.74-.002148              3              2                    P  5      475663 510 5 5 1 8     9.0   11.0
 52 2024.912998 2.083E-25 2.999E+01.05690.062 2380.10250.74-.002736              2              1                    P 12      475663 510 5 5 1 8    46.0   50.0
 52 2025.024699 7.817E-22 1.481E+01.05240.056  627.93240.68-.002828              1              0                    P 18      475663 510 5 5 1 8    70.0   74.0
 51 2025.144711 1.070E-24 3.012E+01.04960.053 3105.64790.67-.002831              2              1                    P 22      475623 510 5 5 1 8    43.0   45.0
 53 2025.219890 4.288E-26 3.007E+01.05770.063 2331.56740.75-.002699              2              1                    P 11      475663 510 5 5 1 8    21.0   23.0
